title,category,company,responses,date,is_active
"Business Analyst (Procurements Automation)","Analyst","SoftServe",2,2/22/2013 12:57,TRUE
"Инженер по тестированию мобильных систем","QA","InfoPulse",2,2/21/2013 18:22,TRUE
"Middle PHP-developer","PHP","Intellectsoft",2,2/21/2013 14:13,TRUE
"PHP / Web Developer","PHP","CloneFish",2,2/21/2013 12:34,TRUE
"Product Manager",,"SysIQ",2,2/21/2013 10:52,TRUE
"Web Developer","Front End","Remit",2,2/20/2013 18:35,TRUE
"Quality Assurance Engineer","QA","Materialise Dental",2,2/20/2013 12:45,TRUE
"Automation Tester (Lviv)","QA","EPAM Systems",2,2/19/2013 17:46,TRUE
"Project Manager","Project Manager","Luxoft",2,2/19/2013 11:53,TRUE
"QA engineer for Berlingske","QA","Ciklum",2,2/19/2013 11:45,TRUE
".Net Developer",".NET","A-MTOSS",2,2/19/2013 11:30,TRUE
"Middle Java Developer","Java","Smile Ukraine - Open Source Solutions",2,2/18/2013 17:06,TRUE
"Technical expert / Technical Lead",,"Smile Ukraine - Open Source Solutions",2,2/18/2013 17:06,TRUE
"Functional Language Programmer",,"Ciklum",2,2/18/2013 12:51,TRUE
"Frontend developer for 24-7 Entertainment","Front End","Ciklum",2,2/18/2013 12:23,TRUE
"Automated QA Engineer for DIBS","QA","Ciklum",2,2/18/2013 9:52,TRUE
"C++ Game Developer for Hapti.co","C++","Ciklum",2,2/18/2013 9:33,TRUE
"C, C++ (Marmalade) Developer","C++","Wallhive",2,2/15/2013 20:28,TRUE
"Back-End .Net Developer for Betsson",".NET","Ciklum",2,2/15/2013 14:48,TRUE
"Technical Project manager for Playtech Mobile","Project Manager","Ciklum",2,2/15/2013 14:39,TRUE
"SQL/.NET Developer",".NET","Sigma Ukraine",2,2/14/2013 19:55,TRUE
"Релиз Менеджер",,"Persha Studia",2,2/13/2013 11:59,TRUE
"ASP.NET Developer",".NET","Nemetos Ukraine",2,2/12/2013 14:18,TRUE
"Android developer","Android","modnaKasta.ua",2,2/11/2013 20:35,TRUE
"IT Manager",,"Crytek Ukraine",2,2/11/2013 20:14,TRUE
"Java Software Engineer","Java","SoftServe",2,2/11/2013 17:58,TRUE
"Graphic/Web Designer","Дизайн","Svitla Systems, Inc.",2,2/11/2013 17:11,TRUE
"Senior iOS Developer","iOS/Mac","Lohika Systems",2,2/11/2013 16:57,TRUE
"Senior C#/C++ developer (Toronto, Canada)","C++","TAL group Inc.",2,2/8/2013 17:48,TRUE
"Front End Team Lead","Front End","Dachis Group",2,2/8/2013 16:22,TRUE
"Unix System Administrator",,"Svitla Systems, Inc.",2,2/8/2013 13:44,FALSE
"Senior .NET Developer",".NET","DataArt",2,2/8/2013 13:41,TRUE
"Middle .NET Developer",".NET","Luxoft",2,2/7/2013 13:36,TRUE
"Project manager (Web)","Project Manager","RightFusion",2,2/6/2013 12:46,TRUE
"Game Designer","Дизайн","Crytek Ukraine",2,2/6/2013 12:18,TRUE
"Server Programmer C#",".NET","Crytek Ukraine",2,2/5/2013 19:17,TRUE
"Senior .NET Developer",".NET","iDeals Solutions",2,2/5/2013 12:57,TRUE
"Python/django/js developer","Python","42 Coffee Cups",2,2/5/2013 12:53,TRUE
"ASP.NET Developer",".NET","Zfort Group",2,2/5/2013 10:41,TRUE
"C# ASP.NET Developer into Product Department",".NET","Sitecore",2,2/5/2013 10:06,TRUE
"Senior Java Developer","Java","SysIQ",2,2/4/2013 19:22,TRUE
"PHP Magento Developer","PHP","SysIQ",2,2/4/2013 19:22,TRUE
"Бизнес аналитик","Analyst","Щоденник",2,2/4/2013 16:36,TRUE
"Senior PHP Developer","PHP","MEGOGO.NET ",2,2/4/2013 16:30,TRUE
"Senior PHP разработчик","PHP","MirTesen.ru",2,2/4/2013 16:25,TRUE
"Web front-end developer","Front End","Serena Software Ukraine",2,2/4/2013 16:06,TRUE
"Project Technical Manager (Delivery)","Project Manager","NetCracker",2,2/4/2013 15:47,TRUE
"Ruby on Rails Developer","Ruby","DataArt",2,2/4/2013 15:20,TRUE
"Front-end (HTML, CSS, Javascript) Developer","Front End","Wallhive",2,2/4/2013 15:17,TRUE
"Аналитик-криптограф (защита информации)","Other","Арт-мастер (AM-SOFT)",2,2/4/2013 14:42,TRUE
"C++ Developer","C++","Akvelon Ukraine",2,2/1/2013 15:30,TRUE
"Project Manager for Wendia","Project Manager","Ciklum",2,2/1/2013 15:21,TRUE
"IT рекрутер","HR","Luxoft",2,2/1/2013 13:06,TRUE
"Программист ASP.NET",".NET","Интеллект-Сервис, Корпорация",2,1/31/2013 16:54,TRUE
"Perl developer","Perl","PortaOne",2,1/31/2013 16:07,TRUE
"Senior Analyst","Analyst","Luxoft",2,1/31/2013 12:14,TRUE
"Front-end developer","Front End","modnaKasta.ua",2,1/31/2013 10:35,TRUE
"Senior System Software developer","C++","Samsung Ukraine R&D Center",2,1/30/2013 8:40,TRUE
"Senior Research Engineer",,"Samsung Ukraine R&D Center",2,1/30/2013 8:40,TRUE
"Senior PHP Developer","PHP","Mobisoft.Ltd",2,1/29/2013 16:32,TRUE
"Front-end developer","Front End","Mobisoft.Ltd",2,1/29/2013 16:32,TRUE
"Project Manager","Project Manager","EngagePoint",2,1/29/2013 11:24,TRUE
"Middle / Senior Java Software Engineer","Java","EPAM Systems",2,1/29/2013 10:35,TRUE
"QA engineer for Playtech Open Gateway","QA","Ciklum",2,1/28/2013 10:38,TRUE
"Middle and Senior .NET Developers (R&D)",".NET","Skelia",2,1/25/2013 18:19,TRUE
"Senior Java developer","Java","Serena Software Ukraine",2,1/25/2013 17:54,TRUE
"Sales/Marketing Assistant","Sales","Trust Sourcing",2,1/25/2013 17:37,TRUE
"HTML Programmer","Front End","Trust Sourcing",2,1/25/2013 17:35,TRUE
"Technical Project Manager","Project Manager","Trust Sourcing",2,1/25/2013 17:32,TRUE
"Senior Test engineer","QA","Luxoft",2,1/25/2013 16:42,TRUE
"Android Developer","Android","Luxoft",2,1/25/2013 14:27,TRUE
"Java Developer","Java","Luxoft",2,1/25/2013 14:22,TRUE
"Senior PHP Software Engineer","PHP","SoftServe",2,1/25/2013 14:08,TRUE
"Senior Business Analyst","Analyst","Luxoft",2,1/25/2013 13:49,TRUE
"Scrum Master",,"Luxoft",2,1/25/2013 11:26,FALSE
"iOS Developer","iOS","Eastern Peak Software",2,1/24/2013 17:50,FALSE
"Android developer","Android","Eastern Peak Software",2,1/24/2013 17:50,FALSE
"Embedded Software Engineer","C++","Waverley Software",2,1/24/2013 17:44,FALSE
"Lead QA Engineer","QA","CloneFish",2,1/24/2013 14:01,FALSE
"Graphic Designer for Project Office","Дизайн","Ciklum",2,1/24/2013 12:19,FALSE
"Веб-дизайнер","Дизайн","ABFX — агентство интернет-решений ",2,1/24/2013 11:30,FALSE
"Опытный и талантливый Flash разработчик многомиллионых соц игр на Фейсбуке","Flash","Official Human",2,1/23/2013 23:47,FALSE
"Senior PHP / JavaScript Developer","PHP","Luxoft",2,1/23/2013 15:52,FALSE
"PHP front-end Developer","PHP","Trust Sourcing",2,1/23/2013 14:39,FALSE
"iOS Software Engineer","iOS/Mac","Stanfy",2,1/22/2013 17:26,FALSE
"Senior Developer (iOS) for Just Eat","iOS/Mac","Ciklum",2,1/22/2013 9:32,FALSE
"Cпециалист по тестированию (OpenStack)","QA","Mirantis",2,1/21/2013 13:21,FALSE
"Junior Android Developer","Android","ПАО КБ «ПРИВАТБАНК»",2,1/21/2013 11:59,FALSE
"IOS developer","iOS","ITCraft",2,1/21/2013 10:17,FALSE
"Flash/ActionScript Developers Team Lead","Flash","WebSource Technologies, Ltd",2,1/19/2013 22:23,FALSE
"Senior Java Engineer","Java","Cogniance, Inc",2,1/18/2013 13:23,FALSE
"PHP Senior/Middle Developer","PHP","stfalcon-studio",2,1/18/2013 13:03,FALSE
"Художник иллюстратор / artist illustrator",,"CloneFish",2,1/17/2013 14:49,FALSE
"Recruitment Consultant (IT) (280/KD)","HR","Kuadriga",2,1/17/2013 13:58,FALSE
"Test Case Engineer (Yapital)!","QA","Kuadriga",2,1/17/2013 13:55,FALSE
"Senior Java Developer (Yapital)!","Java","Kuadriga",2,1/17/2013 13:43,FALSE
"iOS Developer","iOS","InfoPulse",2,1/17/2013 13:24,FALSE
"Ведущий разработчик .NET/С#",".NET","ДубльГИС",2,1/16/2013 21:00,FALSE
"Front end разработчик","Front End","ПАО КБ «ПРИВАТБАНК»",2,1/16/2013 19:51,FALSE
"Стажер-разработчик интерфейсов в группу внутренних сервисов",,"Яндекс.Украина",2,1/15/2013 17:38,FALSE
"Product manager",,"Prom.ua",2,1/14/2013 17:07,FALSE
"JavaScript программист","Front End","Oversun Media LLC",2,1/14/2013 14:52,FALSE
"Software Engineer ASP.NET",".NET","Materialise",2,1/14/2013 11:38,FALSE
"Lead QA Engineer","QA","Augmentive",2,1/11/2013 18:17,FALSE
"Художник векторной графики",,"INSOLLO entertainment",2,1/11/2013 13:47,FALSE
"C++ Engineer","C++","Lohika Systems",2,1/11/2013 10:14,FALSE
"Automation Tester","QA","Ciklum",2,1/10/2013 17:17,FALSE
"Software Developer 3D/CAD (С++ or Delphi) for our USA office","C++","Sigmatek",2,1/10/2013 15:26,FALSE
"Инженер-разработчик электронных устройств",,"ТОВ ""Номинал Инжиниринг""",2,1/10/2013 15:12,FALSE
"Web designer","Дизайн","CloneFish",2,1/10/2013 13:54,FALSE
"SEO specialist","SEO","Mobisoft.Ltd",2,1/8/2013 18:06,FALSE
"Senior iOS developer","iOS","DAXX BV",2,1/8/2013 16:25,FALSE
"Junior Broadcast Technical Support Administrator","Support","Adstream",2,12/27/2012 15:16,FALSE
"QA Engineer for xtendx AG","QA","Ciklum",2,12/26/2012 17:36,FALSE
"Technical Product Manager",,"Cogniance, Inc",2,12/26/2012 10:36,FALSE
"Product manager",,"Mobisoft.Ltd",2,12/25/2012 12:58,FALSE
"Middle QA for VUEM/Andromeda","QA","Ciklum",2,12/24/2012 10:20,FALSE
"Senior Flex and Java developer","Java","Farata Systems",2,12/23/2012 19:25,FALSE
"Linux C++ Developer","C++","frog",2,12/19/2012 13:00,FALSE
"PHP Developer","PHP","Amadeus Ukraine",2,12/17/2012 10:08,FALSE
"PHP-программист (Middle / Junior)","PHP","Grandiz!",2,12/14/2012 10:41,FALSE
"Seo-эксперт",,"Level Up",2,12/13/2012 17:40,FALSE
"Руководитель контент-отдела",,"Level Up",2,12/13/2012 16:42,FALSE
"Senior .NET Developer",".NET","Щоденник",2,12/12/2012 14:30,FALSE
"iOS Developer/Android","iOS","Samsung Ukraine R&D Center",2,12/11/2012 13:09,FALSE
"Front-end Developer","Front End","SaM Solutions",2,12/10/2012 13:27,FALSE
"Бизнес аналитик в IT","Analyst","Кадровый центр Key communication",2,12/7/2012 10:30,FALSE
"Android Developer","Android","Mobile Labs",2,12/7/2012 10:20,FALSE
"ASP.Net developer",".NET","Serena Software Ukraine",2,12/4/2012 21:31,FALSE
"JavaScript Developer","Front End","InvisibleCRM",2,12/4/2012 19:02,FALSE
"Tester for Webforum","QA","Ciklum",2,12/4/2012 16:25,FALSE
"IT Director",,"Inbitec",2,12/3/2012 16:56,FALSE
"Software Testing Engineer for Encode","QA","Ciklum",2,12/3/2012 15:14,FALSE
"PHP/JavaScript программист","PHP","v425",2,12/3/2012 12:09,FALSE
"DevOps / SRE Team Lead | TubeMogul, Inc in Kiev",,"TubeMogul, Inc.",2,11/29/2012 13:55,FALSE
"Senior QA Engineer","QA","Skelia",2,11/29/2012 12:43,FALSE
"Scala/Java Developer","Java","DAXX BV",2,11/29/2012 11:17,FALSE
"Senior/Middle C # .NET Developer (Kiev)",".NET","EPAM Systems",2,11/28/2012 19:44,FALSE
"UI/UX Designer","Front End","Depositphotos",2,11/28/2012 15:41,FALSE
"Professional Software Engineer ASP.NET",".NET","Materialise",2,11/28/2012 12:36,FALSE
"QA engineer for Voltimum","QA","Ciklum",2,11/28/2012 12:07,FALSE
"Front End Developer","Front End","Booking.com",1,2/25/2013 11:03,TRUE
"Middle C++ Developer","C++","CloneFish",1,2/22/2013 14:19,TRUE
"Senior Test Automation Engineer","QA","SoftServe",1,2/22/2013 12:58,TRUE
"Solution Service Product Manager",,"SoftServe",1,2/22/2013 12:58,TRUE
"Провідний програміст 1С","1С","SoftServe",1,2/22/2013 12:57,TRUE
"Platform Architect","PHP","Dachis Group",1,2/21/2013 18:20,TRUE
"Android Developer","Android","Timecode LLC",1,2/21/2013 14:47,TRUE
"Программист JavaScript","Front End","Taberna eCommerce CMS",1,2/21/2013 14:07,TRUE
"HR Marketing and Recruitment Specialist","HR","SoftServe",1,2/21/2013 12:05,TRUE
"Lotus Notes/Domino QC Engineer","QA","SoftServe",1,2/21/2013 12:05,TRUE
"Magento developer (Middle+)","PHP","Pingbull",1,2/21/2013 9:35,TRUE
"IT Administrator",,"Level Up",1,2/20/2013 21:12,TRUE
"Sr Python Developer","Python","Level Up",1,2/20/2013 21:11,TRUE
"Lisp Developer",,"Grammarly",1,2/20/2013 14:10,TRUE
"iOS разработчик (удаленка)","iOS/Mac","Exercise.com, Inc.",1,2/20/2013 13:28,TRUE
"Linux Qt/QML Developer","C++","Luxoft",1,2/20/2013 12:14,TRUE
"Front-End UI Developer (Lviv)","Front End","EPAM Systems",1,2/19/2013 17:54,TRUE
"Affiliate manager","Sales","CloneFish",1,2/19/2013 16:27,TRUE
"Senior UI / UX Designer","Front End","Luxoft",1,2/19/2013 12:31,TRUE
"Java developer","Java","Right&Above",1,2/19/2013 11:35,TRUE
"Senior .Net 3D Developer",".NET","Luxoft",1,2/19/2013 11:13,TRUE
