nothing,speciality,language,spec_more,tenure,nothing,nothing,nothing,nothing,nothing,netwage,wage_diff,city,company_size,gender,age,education,english,date,user_agent,nothing,nothing,nothing,nothing,nothing
1,Project manager,0,,6,0,0,2.5,0,0,2500,500,Donetsk,Less than 50,m,30,Higher,Lower than average,12/18/12 12:25,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",HabraHabr,2,15,no,3
1,Team lead,0,,5,0,0,1.25,0,0,3000,1000,Kyiv,More than 1000,m,24,Higher,Average,12/18/12 12:26,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",,3,16,no,50
1,Senior Software Engineer,JavaScript,,4.5,0,0,0.75,0,0,3000,600,Kyiv,Less than 50,m,30,Higher,Advanced,12/18/12 12:26,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11","GitHub, StackOverflow",0,12,no,20
1,QA engineer,0,General QA,4,0,0,0.5,0,0,1100,0,Lviv,Less than 200,f,25,Higher,Average,12/18/12 12:26,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",,1,,no,0
1,Typesetter,0,,3,0,0,0,0,1,900,0,Kyiv,Less than 10,m,22,Higher,Lower than average,12/18/12 12:26,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",,1,20,no,40
1,Software Engineer,Objective-C,,3.5,0,0,0.25,0,0,3500,1300,Kyiv,Less than 50,m,24,Higher,Average,12/18/12 12:27,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.101 Safari/537.11","StackOverflow, HabraHabr",2.5,14,no,30
1,QA engineer,0,General QA,3,0,0,1.5,0,0,1425,200,Kyiv,More than 1000,f,23,Two Higher,Advanced,12/18/12 12:27,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11","StackOverflow, HabraHabr",1.5,15,no,50
1,System Architect,C#/.NET,,5.5,0,0,3,0,0,3000,500,Kyiv,Less than 10,m,27,Higher,Advanced,12/18/12 12:27,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11","StackOverflow, HabraHabr",1,12,no,40
1,Senior Software Engineer,Ruby/Rails,,3,0,0,0,0,1,2800,0,Kyiv,Less than 200,m,27,Higher,Advanced,12/18/12 12:28,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11","GitHub, StackOverflow, HabraHabr",0,20,no,50
1,Technical Lead,C#/.NET,,5,0,0,4,0,0,3000,0,Kyiv,Less than 50,m,32,Higher,Average,12/18/12 12:28,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11","GitHub, StackOverflow, HabraHabr",2.5,15,no,40
1,Senior Software Engineer,Objective-C,,3,0,0,2,0,0,3000,1200,Kyiv,Less than 50,m,30,Doc Candidate,Advanced,12/18/12 12:28,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11","GitHub, StackOverflow",0,17,no,40
1,SeniorPM/ProgramManager,0,,1.25,0,0,1.25,0,0,1500,300,Dnipropetrovsk,Less than 50,m,31,Higher,Lower than average,12/18/12 12:29,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",HabraHabr,2.5,,no,20
1,SeniorPM/ProgramManager,0,,0,1,0,8,0,0,4500,100,Kharkiv,Less than 1000,m,33,Higher,Advanced,12/18/12 12:29,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",,1,7,yes,40
1,Designer,0,,5.5,0,0,0.75,0,0,950,250,Kharkiv,Less than 200,m,24,Higher,Lower than average,12/18/12 12:29,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",HabraHabr,1,,no,50
1,Junior Software Engineer,Java,,1,0,0,0,0,1,2000,1700,Dnipropetrovsk,Less than 50,m,27,Higher,Lower than average,12/18/12 12:29,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0,"StackOverflow, HabraHabr",0,13,no,30
1,Senior Software Engineer,Java,,4.5,0,0,2.5,0,0,2100,200,Dnipropetrovsk,More than 1000,m,26,Higher,Higher than average,12/18/12 12:29,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",StackOverflow,0.5,17,yes,0
1,QA engineer,0,Automation QA,2.5,0,0,0.75,0,0,1500,0,Kyiv,Less than 50,f,32,Higher,Advanced,12/18/12 12:29,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",HabraHabr,0,31,no,42
1,Software Engineer,Ruby/Rails,,2.5,0,0,1,0,0,2500,0,Lviv,Less than 10,m,23,Secondary,Advanced,12/18/12 12:30,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11","GitHub, StackOverflow",0,12,yes,20
1,QA engineer,0,General QA,2,0,0,2,0,0,700,300,Kharkiv,Less than 200,m,25,Higher,Average,12/18/12 12:30,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",HabraHabr,0.5,19,,12
1,Technical Lead,C#/.NET,,0,1,0,0,1,0,2200,200,Kharkiv,More than 1000,m,35,Higher,Average,12/18/12 12:30,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),StackOverflow,2,14,yes,30
1,Software Engineer,Java,,2,0,0,0,0,1,2200,1000,Kyiv,Less than 10,m,23,Higher,Advanced,12/18/12 12:30,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:17.0) Gecko/20100101 Firefox/17.0,"GitHub, StackOverflow, HabraHabr",0.75,14,no,5
1,Software Engineer,C#/.NET,,3,0,0,1,0,0,2500,700,Odesa,Less than 200,m,25,Two Higher,Average,12/18/12 12:30,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11","StackOverflow, HabraHabr",1,22,yes,5
1,Software Engineer,C#/.NET,,2,0,0,0,1,0,1500,700,Kyiv,More than 1000,m,21,Higher,Higher than average,12/18/12 12:30,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0,"GitHub, StackOverflow, HabraHabr",2,13,yes,80
1,Senior QA engineer,0,Manual QA,7,0,0,0.5,0,0,1600,0,Kharkiv,Less than 1000,m,27,Higher,Higher than average,12/18/12 12:30,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",HabraHabr,1.5,1,no,0
1,Software Engineer,C#/.NET,,4,0,0,4,0,0,1350,400,Lviv,More than 1000,m,24,Higher,Average,12/18/12 12:30,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11","StackOverflow, HabraHabr",2.5,15,no,20
1,QA engineer,0,General QA,2.5,0,0,2.5,0,0,1150,400,Lviv,Less than 1000,m,25,Unfinished higher,Higher than average,12/18/12 12:30,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11","StackOverflow, HabraHabr",0,24,no,40
1,Senior Software Engineer,Objective-C,,4.5,0,0,0,0,1,3000,200,Kharkiv,Less than 10,m,24,Unfinished higher,Advanced,12/18/12 12:30,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:17.0) Gecko/20100101 Firefox/17.0,"StackOverflow, HabraHabr",0,14,no,2
1,Software Engineer,PHP,,2.5,0,0,1.25,0,0,1350,400,Kyiv,Less than 10,m,23,Higher,Higher than average,12/18/12 12:30,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11","StackOverflow, HabraHabr",1.5,14,no,30
1,Senior Software Engineer,C#/.NET,,7.5,0,0,0.5,0,0,2500,500,Lviv,Less than 200,m,27,Unfinished higher,Average,12/18/12 12:30,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11","GitHub, StackOverflow, HabraHabr",0,17,no,8
1,Software Engineer,C,,3,0,0,2.5,0,0,1500,700,Ivano-Frankivsk,Less than 200,m,25,Higher,Lower than average,12/18/12 12:31,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:17.0) Gecko/20100101 Firefox/17.0,HabraHabr,0.5,17,no,20
1,Junior Software Engineer,C++,,9.5,0,0,9.5,0,0,800,-2100,Kyiv,More than 1000,m,27,Two Higher,Advanced,12/18/12 12:31,Mozilla/5.0 (Ubuntu; X11; Linux x86_64; rv:8.0) Gecko/20100101 Firefox/8.0,"GitHub, StackOverflow, HabraHabr",6,,no,40
1,Software Engineer,PHP,,5,0,0,4,0,0,1700,200,Lviv,Less than 10,m,25,Higher,Higher than average,12/18/12 12:31,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.4 (KHTML, like Gecko) Ubuntu/12.10 Chromium/22.0.1229.94 Chrome/22.0.1229.94 Safari/537.4",,0,16,no,18
1,Technical Lead,Java,,4,0,0,0.75,0,0,4300,700,Kyiv,More than 1000,m,24,Higher,Higher than average,12/18/12 12:31,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",StackOverflow,3,,yes,0
1,Designer,0,,0,1,0,1.5,0,0,2000,500,Odesa,Less than 200,m,33,Unfinished higher,Average,12/18/12 12:31,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",HabraHabr,1,16,yes,40
1,Designer,0,,5,0,0,2,0,0,1100,500,Kharkiv,Less than 50,m,23,Unfinished higher,Average,12/18/12 12:31,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",HabraHabr,1,17,no,80
1,QA engineer,0,Manual QA,4,0,0,1,0,0,900,300,Simferopol,Less than 10,m,29,Higher,Average,12/18/12 12:31,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0,,0,,no,20
1,DirEngin/ProgramDirector,0,,3,0,0,1.5,0,0,1500,0,Kharkiv,Less than 10,m,22,Higher,Average,12/18/12 12:32,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11","GitHub, StackOverflow, HabraHabr",2,16,no,30
1,Software Engineer,Ruby/Rails,,3,0,0,0.5,0,0,2500,1500,Sevastopol,Less than 200,m,23,Higher,Average,12/18/12 12:32,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11","GitHub, StackOverflow, HabraHabr",2,15,no,20
1,Typesetter,0,,2,0,0,2,0,0,750,200,Ivano-Frankivsk,Less than 50,m,25,Higher,Lower than average,12/18/12 12:32,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.11,,0,15,no,40
1,Senior Software Engineer,Objective-C,,0,1,0,0.75,0,0,3500,1000,Kyiv,Less than 10,m,36,Higher,Elementary,12/18/12 12:32,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.101 Safari/537.11",StackOverflow,4,12,no,1
1,Junior QA engineer,0,Manual QA,0.5,0,0,0.5,0,0,300,50,Lviv,Less than 1000,m,23,Higher,Higher than average,12/18/12 12:32,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:16.0) Gecko/20100101 Firefox/16.0,HabraHabr,2,21,no,20
1,Software Engineer,C#/.NET,,6,0,0,1.5,0,0,1800,0,Odesa,Less than 200,m,26,Higher,Average,12/18/12 12:33,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11","StackOverflow, HabraHabr",3.5,14,no,20
1,QA engineer,0,Manual QA,2.5,0,0,2.5,0,0,930,150,Lviv,Less than 1000,m,26,Unfinished higher,Lower than average,12/18/12 12:33,Mozilla/5.0 (Windows NT 5.1; rv:12.0) Gecko/20100101 Firefox/12.0,,0,7,no,5
1,Junior Software Engineer,C#/.NET,,0.5,0,0,0.5,0,0,900,200,Kyiv,More than 1000,m,26,Higher,Average,12/18/12 12:33,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",HabraHabr,0.25,12,no,10
1,QA engineer,0,Manual QA,4,0,0,3,0,0,1375,250,Kharkiv,Less than 200,m,26,Higher,Lower than average,12/18/12 12:33,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",,0,23,no,2
1,Software Engineer,PHP,,7,0,0,1.75,0,0,1750,400,Kharkiv,Less than 200,m,37,Higher,Average,12/18/12 12:34,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.91 Safari/537.11",StackOverflow,6,13,no,8
1,Software Engineer,Other,,6,0,0,4,0,0,1375,0,Donetsk,Less than 10,m,31,Two Higher,Average,12/18/12 12:34,Mozilla/5.0 (Windows NT 6.1; rv:12.0) Gecko/20100101 Firefox/12.0,HabraHabr,4,15,no,
1,Typesetter,0,,7,0,0,5,0,0,2300,150,Kyiv,Less than 50,m,29,Unfinished higher,Elementary,12/18/12 12:34,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",HabraHabr,1,23,no,10
1,Junior Software Engineer,Other,,0.25,0,0,0.25,0,0,1200,0,Kyiv,Less than 50,m,22,Unfinished higher,Higher than average,12/18/12 12:34,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",HabraHabr,0.25,14,no,20
1,Senior Software Engineer,Java,,6.5,0,0,2.5,0,0,3000,400,Odesa,Less than 10,m,40,Unfinished higher,Average,12/18/12 12:35,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",,3.5,15,no,30
1,Senior Software Engineer,JavaScript,,0,1,0,0.75,0,0,2200,200,Kyiv,Less than 50,m,30,Higher,Lower than average,12/18/12 12:35,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11","GitHub, StackOverflow, HabraHabr",3,12,no,50
1,Team lead,0,,7,0,0,1.5,0,0,2600,300,Kyiv,More than 1000,m,32,Higher,Higher than average,12/18/12 12:35,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1,HabraHabr,5,16,no,40
1,Team lead,0,,6,0,0,2.5,0,0,3700,1200,Kyiv,More than 1000,m,29,Higher,Higher than average,12/18/12 12:35,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",,1.5,23,yes,20
1,Senior Software Engineer,C++,,6,0,0,1,0,0,2500,600,Kyiv,Less than 50,m,26,Higher,Higher than average,12/18/12 12:35,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/25.0.1359.3 Safari/537.21","StackOverflow, HabraHabr",5,17,yes,10
1,Software Engineer,PHP,,2,0,0,0,0,1,1250,450,Lviv,Less than 1000,m,23,Higher,Average,12/18/12 12:36,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11","StackOverflow, HabraHabr",2,17,no,20
1,Typesetter,0,,2,0,0,1.25,0,0,1100,300,Kyiv,Less than 1000,m,27,Higher,Average,12/18/12 12:36,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",HabraHabr,0,,no,22
1,Typesetter,0,,3,0,0,3,0,0,800,100,Poltava,Less than 10,m,25,Higher,Average,12/18/12 12:36,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.11,"StackOverflow, HabraHabr",0,15,no,30
1,Senior Software Engineer,C#/.NET,,8,0,0,0.5,0,0,3300,1000,Lviv,Less than 200,m,29,Higher,Higher than average,12/18/12 12:36,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:16.0) Gecko/20100101 Firefox/16.0,,0.75,12,yes,2
1,QA engineer,0,Manual QA,5.5,0,0,2,0,0,1300,0,Lviv,More than 1000,m,28,Higher,Higher than average,12/18/12 12:36,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0,,0,20,no,3
1,Senior Software Engineer,Objective-C,,6,0,0,3,0,0,2100,0,Dnipropetrovsk,Less than 10,m,25,Secondary,Higher than average,12/18/12 12:36,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11","StackOverflow, HabraHabr",0,12,no,20
1,Software Engineer,Other,,5.5,0,0,0.5,0,0,3000,1000,Simferopol,Less than 10,m,27,Higher,Higher than average,12/18/12 12:36,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E),HabraHabr,1,17,yes,40
1,Software Engineer,JavaScript,,3,0,0,1.5,0,0,3100,600,Odesa,Less than 10,m,34,Higher,Lower than average,12/18/12 12:37,Mozilla/5.0 (Windows NT 5.1; rv:17.0) Gecko/20100101 Firefox/17.0,StackOverflow,0,18,no,40
1,Software Engineer,Objective-C,,1.5,0,0,1.5,0,0,650,180,Lviv,Less than 50,m,22,Higher,Average,12/18/12 12:37,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:17.0) Gecko/20100101 Firefox/17.0,"StackOverflow, HabraHabr",1.25,15,no,60
1,Software Engineer,Python,,3,0,0,1.75,0,0,1200,0,Kyiv,Less than 10,m,24,Higher,Average,12/18/12 12:37,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11","GitHub, StackOverflow, HabraHabr",1.5,10,no,62
1,Typesetter,0,,2,0,0,1.5,0,0,700,0,Kyiv,Less than 50,m,24,Higher,Lower than average,12/18/12 12:38,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4",HabraHabr,1,16,yes,30
1,Junior QA engineer,0,Manual QA,1.5,0,0,1.5,0,0,750,450,Lviv,More than 1000,m,25,Two Higher,Average,12/18/12 12:38,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",HabraHabr,0,15,no,30
1,Senior Software Engineer,Ruby/Rails,,8,0,0,3.5,0,0,4750,1500,Kyiv,Less than 10,m,27,Higher,Advanced,12/18/12 12:38,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:18.0) Gecko/20100101 Firefox/18.0,"GitHub, StackOverflow",6,9,no,20
1,Software Engineer,Other,,2,0,0,2,0,0,1200,400,Kyiv,Less than 1000,m,25,Higher,Average,12/18/12 12:38,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.11,HabraHabr,3,12,no,64
1,QA engineer,0,General QA,2,0,0,1,0,0,950,0,Dnipropetrovsk,Less than 200,f,25,Two Higher,Higher than average,12/18/12 12:38,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",,0,16,no,20
1,Junior Software Engineer,C,,0.5,0,0,0.5,0,0,400,400,Lviv,More than 1000,m,21,Unfinished higher,Average,12/18/12 12:38,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1","StackOverflow, HabraHabr",0.25,15,no,20
1,DirEngin/ProgramDirector,0,,5,0,0,5,0,0,4500,500,Kyiv,Less than 50,m,29,Higher,Advanced,12/18/12 12:38,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11","GitHub, StackOverflow",4,16,no,30
1,Software Engineer,Python,,2.5,0,0,1.5,0,0,1100,400,Kharkiv,Less than 200,m,24,Higher,Average,12/18/12 12:40,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11","GitHub, StackOverflow, HabraHabr",5,14,no,102
1,Software Engineer,Python,,9,0,0,1,0,0,1600,0,Kharkiv,Less than 50,m,27,Higher,Average,12/18/12 12:40,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.35 Safari/537.17","GitHub, StackOverflow, HabraHabr",2,12,yes,14
1,Software Engineer,PHP,,3,0,0,0.75,0,0,1800,0,Kyiv,Less than 50,m,25,Higher,Average,12/18/12 12:40,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11","GitHub, StackOverflow, HabraHabr",2,17,no,100
1,Business Analyst,0,,4.5,0,0,2.5,0,0,1500,500,Kharkiv,Less than 200,m,27,Two Higher,Average,12/18/12 12:40,Opera/9.80 (Windows NT 6.1) Presto/2.12.388 Version/12.11,HabraHabr,0.5,12,yes,20
1,QA engineer,0,General QA,4,0,0,4,0,0,1600,150,Odesa,Less than 1000,m,28,Higher,Average,12/18/12 12:40,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; InfoPath.3; .NET4.0E),HabraHabr,0,20,yes,10
1,Senior Software Engineer,Java,,0,1,0,6,0,0,950,0,Kyiv,Less than 50,m,41,Higher,Elementary,12/18/12 12:42,Mozilla/5.0 (Windows NT 5.1; rv:17.0) Gecko/20100101 Firefox/17.0,StackOverflow,1,18,no,8
1,Junior Software Engineer,Java,,1.25,0,0,0.75,0,0,700,500,Odesa,Less than 200,m,25,Higher,Average,12/18/12 12:42,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.3) Gecko/20121202 Firefox/15.3.2 PaleMoon/15.3.2,"StackOverflow, HabraHabr",0,14,no,30
